"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14194","test_tc3_checkout_info","Tests","Mon Sep 01 03:36:47 EEST 2025","passed","Mon Sep 01 03:37:01 EEST 2025","","test_negative","",""
"","2716","test_tc1_login","Tests","Mon Sep 01 03:37:05 EEST 2025","passed","Mon Sep 01 03:37:07 EEST 2025","","test_one","",""
"","7693","test_tc9_logout","Tests","Mon Sep 01 03:39:11 EEST 2025","passed","Mon Sep 01 03:39:19 EEST 2025","","test_one","",""
"","19576","test_tc11_filter_low_to_high","Tests","Mon Sep 01 03:39:49 EEST 2025","passed","Mon Sep 01 03:40:08 EEST 2025","","test_one","",""
"","8580","test_tc8_about","Tests","Mon Sep 01 03:38:58 EEST 2025","passed","Mon Sep 01 03:39:06 EEST 2025","","test_one","",""
"","21197","test_tc10_addItems","Tests","Mon Sep 01 03:39:23 EEST 2025","passed","Mon Sep 01 03:39:44 EEST 2025","","test_one","",""
"","8055","test_tc6_geolocation","Tests","Mon Sep 01 03:38:12 EEST 2025","passed","Mon Sep 01 03:38:20 EEST 2025","","test_one","",""
"","20357","test_tc3_product_detls","Tests","Mon Sep 01 03:37:23 EEST 2025","passed","Mon Sep 01 03:37:43 EEST 2025","","test_one","",""
"","3870","test_unregisterd_user","Tests","Mon Sep 01 03:36:33 EEST 2025","passed","Mon Sep 01 03:36:37 EEST 2025","","test_negative","",""
"","20030","test_tc12_filter_high_to_low","Tests","Mon Sep 01 03:40:12 EEST 2025","passed","Mon Sep 01 03:40:32 EEST 2025","","test_one","",""
"","9488","test_tc5_QR","Tests","Mon Sep 01 03:37:59 EEST 2025","passed","Mon Sep 01 03:38:08 EEST 2025","","test_one","",""
"","4398","test_tc1_login","Tests","Mon Sep 01 03:36:23 EEST 2025","passed","Mon Sep 01 03:36:28 EEST 2025","","test_negative","",""
"","9062","test_tc2_browsing","Tests","Mon Sep 01 03:37:11 EEST 2025","passed","Mon Sep 01 03:37:20 EEST 2025","","test_one","",""
"","8989","test_tc4_hamburger_menu","Tests","Mon Sep 01 03:37:46 EEST 2025","passed","Mon Sep 01 03:37:55 EEST 2025","","test_one","",""
"","3660","test_locked_out_user","Tests","Mon Sep 01 03:36:40 EEST 2025","passed","Mon Sep 01 03:36:44 EEST 2025","","test_negative","",""
"","31501","test_tc7_drawing","Tests","Mon Sep 01 03:38:23 EEST 2025","broken","Mon Sep 01 03:38:54 EEST 2025","","test_one","",""
